period,source_code,source_name,destination_code,destination_name,corridor,avg_cost_pct_200usd,avg_cost_pct_500usd,avg_fx_margin_200usd,avg_fx_margin_500usd,num_providers
2016_2Q,NOR,Norway,PAK,Pakistan,NORPAK,9.58,7.117142857142857,3.1271428571428572,3.1271428571428572,7
2016_2Q,NZL,New Zealand,CHN,China,NZLCHN,9.655555555555555,5.4,2.5622222222222226,2.5622222222222226,18
2016_2Q,NZL,New Zealand,IND,India,NZLIND,6.721724137931035,3.9044827586206896,1.987241379310345,1.9700000000000002,29
2016_2Q,NZL,New Zealand,PHL,Philippines,NZLPHL,6.9772,4.027200000000001,1.9368,1.9368,25
2016_2Q,NZL,New Zealand,VNM,Vietnam,NZLVNM,8.952631578947368,5.113157894736842,2.475263157894737,2.4489473684210528,19
2016_2Q,OMN,Oman,BGD,Bangladesh,OMNBGD,2.99,1.42625,0.40625,0.40625,8
2016_2Q,OMN,Oman,IND,India,OMNIND,3.1366666666666667,1.4755555555555555,0.3933333333333333,0.3933333333333333,9
2016_2Q,OMN,Oman,JOR,Jordan,OMNJOR,4.925,3.0075000000000003,1.7574999999999998,1.7574999999999998,4
2016_2Q,OMN,Oman,LKA,Sri Lanka,OMNLKA,3.46875,1.75625,0.63875,0.63875,8
2016_2Q,OMN,Oman,NPL,Nepal,OMNNPL,3.5414285714285714,1.8142857142857143,0.6842857142857143,0.6842857142857143,7
2016_2Q,OMN,Oman,PAK,Pakistan,OMNPAK,2.86,1.245,0.19499999999999998,0.19499999999999998,6
2016_2Q,PAK,Pakistan,AFG,Afghanistan,PAKAFG,9.3125,3.775,0.07,0.07,8
2016_2Q,PAK,Pakistan,BGD,Bangladesh,PAKBGD,9.3125,3.775,0.07,0.07,8
2016_2Q,PRT,Portugal,BRA,Brazil,PRTBRA,5.3175,4.3925,3.51875,3.51875,8
2016_2Q,QAT,Qatar,BGD,Bangladesh,QATBGD,5.271,3.7939999999999996,2.7220000000000004,2.7220000000000004,10
2016_2Q,QAT,Qatar,EGY,"Egypt, Arab Rep.",QATEGY,5.930666666666667,3.896,2.5319999999999996,2.5319999999999996,15
2016_2Q,QAT,Qatar,IND,India,QATIND,4.775833333333334,3.2899999999999996,2.2199999999999998,2.2199999999999998,12
2016_2Q,QAT,Qatar,JOR,Jordan,QATJOR,5.396666666666667,3.3366666666666664,1.8808333333333334,1.8808333333333334,12
2016_2Q,QAT,Qatar,LKA,Sri Lanka,QATLKA,6.336,4.852,3.8579999999999997,3.8579999999999997,10
2016_2Q,QAT,Qatar,NPL,Nepal,QATNPL,4.747142857142856,3.217142857142857,2.1928571428571426,2.1928571428571426,14
2016_2Q,QAT,Qatar,PAK,Pakistan,QATPAK,4.035,2.583,1.609,1.609,10
2016_2Q,QAT,Qatar,PHL,Philippines,QATPHL,5.333333333333333,3.822,2.75,2.75,15
2016_2Q,QAT,Qatar,SDN,Sudan,QATSDN,7.521666666666666,5.84,4.713333333333334,4.713333333333334,6
2016_2Q,RUS,Russian Federation,ARM,Armenia,RUSARM,1.448,1.448,0.0,0.0,5
2016_2Q,RUS,Russian Federation,AZE,Azerbaijan,RUSAZE,1.435,1.436,0.0,0.0,10
2016_2Q,RUS,Russian Federation,BLR,Belarus,RUSBLR,1.405,1.405,0.0,0.0,8
2016_2Q,RUS,Russian Federation,EST,Estonia,RUSEST,5.446,4.396,0.0,0.0,5
2016_2Q,RUS,Russian Federation,GEO,Georgia,RUSGEO,1.3175,1.3175,0.0,0.0,8
2016_2Q,RUS,Russian Federation,KAZ,Kazakhstan,RUSKAZ,1.6149999999999998,1.6239999999999999,0.0,0.0,10
2016_2Q,RUS,Russian Federation,KGZ,Kyrgyz Republic,RUSKGZ,1.4866666666666666,1.4866666666666666,0.0,0.0,12
2016_2Q,RUS,Russian Federation,LTU,Lithuania,RUSLTU,6.185,4.875,0.0,0.0,4
2016_2Q,RUS,Russian Federation,LVA,Latvia,RUSLVA,5.226,4.16,0.0,0.0,5
2016_2Q,RUS,Russian Federation,MDA,Moldova,RUSMDA,1.6045454545454545,1.6127272727272726,0.0,0.0,11
2016_2Q,RUS,Russian Federation,TJK,Tajikistan,RUSTJK,1.7041666666666666,1.6941666666666666,0.0,0.0,12
2016_2Q,RUS,Russian Federation,UKR,Ukraine,RUSUKR,1.495,1.495,0.0,0.0,12
2016_2Q,RUS,Russian Federation,UZB,Uzbekistan,RUSUZB,1.8136363636363635,1.74,0.0,0.0,11
2016_2Q,RWA,Rwanda,KEN,Kenya,RWAKEN,8.08625,7.38375,4.41125,4.41125,8
2016_2Q,SAU,Saudi Arabia,AFG,Afghanistan,SAUAFG,5.726666666666667,3.9966666666666666,2.84,2.84,3
2016_2Q,SAU,Saudi Arabia,BGD,Bangladesh,SAUBGD,4.29,2.8850000000000002,1.94,1.94,8
2016_2Q,SAU,Saudi Arabia,EGY,"Egypt, Arab Rep.",SAUEGY,6.848750000000001,5.148750000000001,4.015,4.015,8
2016_2Q,SAU,Saudi Arabia,ETH,Ethiopia,SAUETH,5.1,2.5625,0.865,0.865,4
2016_2Q,SAU,Saudi Arabia,IDN,Indonesia,SAUIDN,3.73,2.466666666666667,1.6199999999999999,1.6199999999999999,6
2016_2Q,SAU,Saudi Arabia,IND,India,SAUIND,3.39625,1.79125,0.71375,0.71375,8
2016_2Q,SAU,Saudi Arabia,JOR,Jordan,SAUJOR,4.88,2.5749999999999997,1.02875,1.02875,8
2016_2Q,SAU,Saudi Arabia,LBN,Lebanon,SAULBN,4.772,2.138,0.372,0.372,5
2016_2Q,SAU,Saudi Arabia,LKA,Sri Lanka,SAULKA,3.8816666666666664,2.59,1.7249999999999999,1.7249999999999999,6
2016_2Q,SAU,Saudi Arabia,MMR,Myanmar,SAUMMR,11.045,6.05,2.71,2.71,2
2016_2Q,SAU,Saudi Arabia,NPL,Nepal,SAUNPL,4.16375,2.6675,1.6637499999999998,1.6637499999999998,8
2016_2Q,SAU,Saudi Arabia,PAK,Pakistan,SAUPAK,3.2055555555555557,2.121111111111111,1.8722222222222225,1.8722222222222225,9
2016_2Q,SAU,Saudi Arabia,PHL,Philippines,SAUPHL,4.288571428571428,2.54,1.3728571428571428,1.3728571428571428,7
2016_2Q,SAU,Saudi Arabia,SDN,Sudan,SAUSDN,1.6,-0.39,-1.73,-1.73,1
2016_2Q,SAU,Saudi Arabia,SSD,South Sudan,SAUSSD,7.765,4.78,0.1,0.1,2
2016_2Q,SAU,Saudi Arabia,SYR,Syrian Arab Republic,SAUSYR,4.67,1.87,0.0,0.0,1
