country_code,country,year,account_ownership_female_pct,account_ownership_male_pct,account_ownership_older_pct,account_ownership_outoflaborforce_pct,account_ownership_pct_15plus,account_ownership_richest60_pct,account_ownership_young_pct,account_ownership_poorest40_pct,account_at_formal_institution_pct,borrowers_at_commercial_banks_per1k,depositors_at_commercial_banks_per1k,saved_at_financial_institution_pct
LKA,Sri Lanka,2021,89.2774734204631,89.2634183556022,90.0525742987248,92.9809794997471,89.2707132323262,90.7189876723785,86.4015210755849,87.0790314179909,,,35.08618,33.91269
LKA,Sri Lanka,2024,80.201889490679,83.3833352312595,83.4123614729863,84.4889282883542,81.6921293527248,82.6966067816372,75.0641243872534,80.186232208266,,,,
MEX,Mexico,2011,21.9658799677223,33.1920930160886,27.0201587108708,37.8782578891321,27.4293831561048,36.7798589700363,28.5709103424221,13.3658258922716,,2.1157234,14.61256,6.725278
MEX,Mexico,2014,38.8981842866508,39.4000760623419,41.6840807111367,46.2290373243872,39.1408431572041,45.6526031875043,32.0600603809052,29.3630324062579,,3.0367384,18.84009,14.48227
MEX,Mexico,2017,32.8661862616389,39.5818529586562,37.6741048705148,42.4785526946382,36.0417666941178,43.2457382013613,31.3209505120234,25.2140567561876,,2.0898729,21.13066,9.772304
MEX,Mexico,2022,42.3037269766815,56.2709550827829,48.6619150454936,56.3097416891784,48.9714753743921,60.2225062192936,50.0434860736247,32.0687283682174,,,,
MEX,Mexico,2024,47.4017009910959,59.1387643464686,55.4321327132819,60.8992291617309,53.0320833316729,61.9710694395068,44.6702387701333,39.604436945858,,,,
MMR,Myanmar,2014,17.4002152787276,28.5966681035584,25.9824919690495,26.4398112025539,22.7841949800561,25.0684182701619,13.4552226479083,19.3538986943543,176.19873,,2.775956,12.78984
MMR,Myanmar,2017,25.9787109102086,26.0077104850945,30.8419114283835,30.4862521576091,25.9922979704419,28.2910424475941,11.262610678073,22.5439827224447,185.64488,,5.645101,8.069589
MMR,Myanmar,2021,46.1505017519645,49.5221410770618,44.3829651969977,67.7047009982664,47.7910290706127,57.6526712170714,55.6807974487462,32.9858552258564,,,7.594283,9.038115
MYS,Malaysia,2011,63.0964719216178,69.2193780332553,70.1204263282883,74.1112533582503,66.1738110531964,78.4096999654035,57.0914584162813,47.8114687390697,,2.6813903,20.73016,35.40678
MYS,Malaysia,2014,78.091298691164,83.0129788866595,82.1775036732471,84.3682610010019,80.6746217746032,84.4337127436179,76.1996175813006,75.2771611992484,766.63978,1.6457855,19.77577,33.77064
MYS,Malaysia,2017,82.4785366568756,87.9162881853072,85.8170390089349,87.5355065531599,85.3437476207774,88.5408304381102,84.0581559912771,80.5045468350328,708.83829,1.5491872,19.69873,37.76975
